Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
0;D00639;DIRECTION, SUSPENSION, TRANSMISSION;VERIN DE HAYON;;;18/12/2017;0;0
0;D00639;EQUIPEMENT ATELIER;CONSOMABLE;;;09/11/2017;0;0
0;D00639;EQUIPEMENT ATELIER;CONSOMABLE;;;01/12/2017;0;0
0;D00639;LIQUIDE;LAVE GLACE;;;06/09/2017;0;0
0;D00639;LIQUIDE;ADBLUE;;;31/10/2017;0;0
0;D00640;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;01/09/2017;0;0
0;D00640;EQUIPEMENT ATELIER;OUTILLAGE;;;01/08/2017;0;0
14;D00634;INDEFINI;INDEFINI;;;17/05/2017;0;0
14;D00634;INDEFINI;INDEFINI;;;13/11/2017;60;0
14;D00634;FILTRATION;FILTRE A AIR;;;05/05/2017;11.18;37.57
14;D00634;FILTRATION;FILTRE A AIR;;;11/05/2017;13.31;42.75
14;D00634;FILTRATION;FILTRE A AIR;;;28/06/2017;48;40.5
14;D00634;FILTRATION;FILTRE A AIR;;;18/07/2017;35.45;31.31
14;D00634;FILTRATION;FILTRE A AIR;;;03/08/2017;49.24;36.76
14;D00634;FILTRATION;FILTRE A AIR;;;09/08/2017;13.18;42.79
14;D00634;FILTRATION;FILTRE A AIR;;;28/08/2017;8.52;37.56
14;D00634;FILTRATION;FILTRE A AIR;;;19/10/2017;11.05;42.81
14;D00634;FILTRATION;FILTRE A AIR;;;07/11/2017;35.33;35.18
14;D00634;FILTRATION;FILTRE A AIR;;;10/11/2017;24.31;30.52
14;D00634;FILTRATION;FILTRE A AIR;;;22/12/2017;9.5;37.58
14;D00634;FILTRATION;FILTRE A HUILE;;;15/05/2017;15.56;37.47
14;D00634;FILTRATION;FILTRE A HUILE;;;22/06/2017;86.92;33.33
14;D00634;FILTRATION;FILTRE A HUILE;;;28/07/2017;19.52;29.61
14;D00634;FILTRATION;FILTRE A HUILE;;;31/07/2017;13.36;39.37
14;D00634;FILTRATION;FILTRE A HUILE;;;14/09/2017;6.18;29.61
14;D00634;FILTRATION;FILTRE A HUILE;;;20/09/2017;13.26;29.64
14;D00634;FILTRATION;FILTRE A HUILE;;;27/09/2017;26.3;29.54
14;D00634;FILTRATION;FILTRE A HUILE;;;20/11/2017;42.02;29.58
14;D00634;FILTRATION;FILTRE A CARBURANT;;;30/05/2017;31.51;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;17/07/2017;25.39;29.54
14;D00634;FILTRATION;FILTRE A CARBURANT;;;02/10/2017;9.54;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;05/10/2017;36.85;35.96
14;D00634;FILTRATION;FILTRE A CARBURANT;;;12/10/2017;13.27;35.95
14;D00634;FILTRATION;FILTRE A CARBURANT;;;13/11/2017;19.34;29.52
14;D00634;FILTRATION;FILTRE A CARBURANT;;;05/12/2017;25.41;29.56
14;D00634;FILTRATION;FILTRE HABITACLE;;;18/05/2017;23.11;31.33
14;D00634;FILTRATION;FILTRE HABITACLE;;;31/05/2017;14.63;31.31
14;D00634;FILTRATION;FILTRE HABITACLE;;;13/06/2017;23.36;31.34
14;D00634;FILTRATION;FILTRE HABITACLE;;;10/08/2017;15.07;37.56
14;D00634;FILTRATION;FILTRE HABITACLE;;;11/09/2017;13.94;31.35
14;D00634;FILTRATION;FILTRE HABITACLE;;;21/09/2017;11.73;37.6
14;D00634;FILTRATION;FILTRE HABITACLE;;;27/09/2017;15.44;31.28
14;D00634;FILTRATION;FILTRE HABITACLE;;;10/10/2017;8.13;31.37
14;D00634;FILTRATION;FILTRE HABITACLE;;;13/10/2017;6.44;31.21
14;D00634;FILTRATION;FILTRE HABITACLE;;;26/10/2017;24.41;31.34
14;D00634;FILTRATION;FILTRE HABITACLE;;;30/11/2017;-25.21;31.3
14;D00634;FREINAGE;PLAQUETTE;;;07/04/2017;27;51.67
14;D00634;FREINAGE;PLAQUETTE;;;13/04/2017;29.25;41.98
14;D00634;FREINAGE;PLAQUETTE;;;20/04/2017;43.8;42.01
14;D00634;FREINAGE;PLAQUETTE;;;12/05/2017;97.38;46.5
14;D00634;FREINAGE;PLAQUETTE;;;07/06/2017;42.8;42.01
14;D00634;FREINAGE;PLAQUETTE;;;25/07/2017;0;0
14;D00634;FREINAGE;PLAQUETTE;;;28/07/2017;112.21;45.63
14;D00634;FREINAGE;PLAQUETTE;;;05/09/2017;63.3;47.73
0;D00639;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;24/04/2017;0;0
0;D00639;EQUIPEMENT ATELIER;CONSOMABLE;;;17/05/2017;12.96;60.03
0;D00639;EQUIPEMENT ATELIER;CONSOMABLE;;;17/07/2017;0;0
0;D00639;EQUIPEMENT ATELIER;CONSOMABLE;;;18/10/2017;0;0
0;D00639;EQUIPEMENT ATELIER;CONSOMABLE;;;18/12/2017;0;0
14;D00634;FILTRATION;FILTRE A AIR;;;18/04/2017;22.98;31.29
14;D00634;FILTRATION;FILTRE A AIR;;;23/05/2017;35.03;34.91
14;D00634;FILTRATION;FILTRE A AIR;;;15/06/2017;10.05;31.34
14;D00634;FILTRATION;FILTRE A AIR;;;13/09/2017;24.69;35.48
14;D00634;FILTRATION;FILTRE A AIR;;;19/09/2017;11.83;31.36
14;D00634;FILTRATION;FILTRE A AIR;;;05/10/2017;28.97;35.28
14;D00634;FILTRATION;FILTRE A AIR;;;31/10/2017;0;0
14;D00634;FILTRATION;FILTRE A AIR;;;03/11/2017;21.83;31.33
14;D00634;FILTRATION;FILTRE A AIR;;;06/11/2017;25.36;31.31
14;D00634;FILTRATION;FILTRE A AIR;;;29/11/2017;10.94;31.35
14;D00634;FILTRATION;FILTRE A AIR;;;12/12/2017;27.65;40.22
14;D00634;FILTRATION;FILTRE A AIR;;;15/12/2017;20.88;31.32
14;D00634;FILTRATION;FILTRE A HUILE;;;25/04/2017;7.01;29.53
14;D00634;FILTRATION;FILTRE A HUILE;;;28/04/2017;14.67;39.47
14;D00634;FILTRATION;FILTRE A HUILE;;;12/06/2017;25.85;29.56
14;D00634;FILTRATION;FILTRE A HUILE;;;28/06/2017;15.86;41.3
14;D00634;FILTRATION;FILTRE A HUILE;;;11/07/2017;31.38;24.44
14;D00634;FILTRATION;FILTRE A HUILE;;;24/07/2017;19.38;30.91
14;D00634;FILTRATION;FILTRE A HUILE;;;27/07/2017;32.29;29.61
14;D00634;FILTRATION;FILTRE A HUILE;;;02/08/2017;67.67;32.36
14;D00634;FILTRATION;FILTRE A HUILE;;;22/08/2017;14.95;31.3
14;D00634;FILTRATION;FILTRE A HUILE;;;28/08/2017;21.24;28.91
14;D00634;FILTRATION;FILTRE A HUILE;;;07/09/2017;38.62;36.98
14;D00634;FILTRATION;FILTRE A HUILE;;;29/09/2017;55.99;30.9
14;D00634;FILTRATION;FILTRE A HUILE;;;02/10/2017;10;29.6
14;D00634;FILTRATION;FILTRE A HUILE;;;12/10/2017;24.21;31.6
14;D00634;FILTRATION;FILTRE A HUILE;;;16/11/2017;20.08;29.53
14;D00634;FILTRATION;FILTRE A HUILE;;;15/12/2017;14.41;29.49
14;D00634;FILTRATION;FILTRE A CARBURANT;;;19/05/2017;75.57;31.47
14;D00634;FILTRATION;FILTRE A CARBURANT;;;26/05/2017;46.01;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;01/06/2017;51.1;32.05
14;D00634;FILTRATION;FILTRE A CARBURANT;;;10/07/2017;98.79;34.05
14;D00634;FILTRATION;FILTRE A CARBURANT;;;01/08/2017;40.29;24.94
14;D00634;FILTRATION;FILTRE A CARBURANT;;;11/08/2017;21.82;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;18/09/2017;21.82;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;04/10/2017;28.83;35.93
14;D00634;FILTRATION;FILTRE A CARBURANT;;;15/11/2017;19;18.11
14;D00634;FILTRATION;FILTRE A CARBURANT;;;08/12/2017;85.21;31.31
14;D00634;FILTRATION;FILTRE HABITACLE;;;05/05/2017;10.75;37.58
14;D00634;FILTRATION;FILTRE HABITACLE;;;30/05/2017;11.46;31.33
14;D00634;FILTRATION;FILTRE HABITACLE;;;06/06/2017;31.04;34.57
14;D00634;FILTRATION;FILTRE HABITACLE;;;28/06/2017;9.42;31.32
14;D00634;FILTRATION;FILTRE HABITACLE;;;03/08/2017;64.02;33.24
14;D00634;FILTRATION;FILTRE HABITACLE;;;09/08/2017;11.86;42.75
14;D00634;FILTRATION;FILTRE HABITACLE;;;07/09/2017;15.44;31.28
14;D00634;FILTRATION;FILTRE HABITACLE;;;12/10/2017;10.75;37.58
14;D00634;FILTRATION;FILTRE HABITACLE;;;19/10/2017;9;23.67
14;D00634;FILTRATION;FILTRE HABITACLE;;;06/12/2017;8.87;31.34
0;D00639;ECLAIRAGE;LAMPE, AMPOULE, AMPOULE PHARE;;;13/06/2017;0;0
0;D00640;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;18/04/2017;0;0
0;D00640;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;24/04/2017;0;0
14;D00634;FILTRATION;FILTRE A AIR;;;15/05/2017;40.49;39.37
14;D00634;FILTRATION;FILTRE A AIR;;;16/06/2017;-0.52;30.77
14;D00634;FILTRATION;FILTRE A AIR;;;12/07/2017;23.19;34.58
14;D00634;FILTRATION;FILTRE A AIR;;;13/10/2017;32.09;31.32
14;D00634;FILTRATION;FILTRE A AIR;;;08/11/2017;7.44;23.66
14;D00634;FILTRATION;FILTRE A AIR;;;21/11/2017;8.92;37.56
14;D00634;FILTRATION;FILTRE A HUILE;;;26/04/2017;7.03;41.25
14;D00634;FILTRATION;FILTRE A HUILE;;;03/07/2017;19.92;36.09
14;D00634;FILTRATION;FILTRE A HUILE;;;19/07/2017;10.23;29.52
14;D00634;FILTRATION;FILTRE A HUILE;;;10/08/2017;26.29;39.22
14;D00634;FILTRATION;FILTRE A HUILE;;;18/09/2017;8.63;31.98
14;D00634;FILTRATION;FILTRE A HUILE;;;23/10/2017;6;29.67
14;D00634;FILTRATION;FILTRE A HUILE;;;08/11/2017;6.62;21.6
14;D00634;FILTRATION;FILTRE A HUILE;;;21/11/2017;16.62;38.81
14;D00634;FILTRATION;FILTRE A HUILE;;;24/11/2017;21.95;34.31
14;D00634;FILTRATION;FILTRE A HUILE;;;28/11/2017;17.68;29.52
14;D00634;FILTRATION;FILTRE A HUILE;;;04/12/2017;12.45;40.64
14;D00634;FILTRATION;FILTRE A HUILE;;;07/12/2017;12.94;29.52
14;D00634;FILTRATION;FILTRE A HUILE;;;20/12/2017;15.2;35.72
14;D00634;FILTRATION;FILTRE A CARBURANT;;;11/05/2017;41.31;33.02
14;D00634;FILTRATION;FILTRE A CARBURANT;;;09/06/2017;52.28;30.99
14;D00634;FILTRATION;FILTRE A CARBURANT;;;12/06/2017;7.92;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;11/07/2017;35.94;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;09/08/2017;22.51;41.27
14;D00634;FILTRATION;FILTRE A CARBURANT;;;01/09/2017;11.68;29.54
14;D00634;FILTRATION;FILTRE A CARBURANT;;;04/09/2017;23.79;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;06/10/2017;31.23;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;25/10/2017;20.8;57.74
14;D00634;FILTRATION;FILTRE A CARBURANT;;;07/11/2017;91.4;35.37
14;D00634;FILTRATION;FILTRE A CARBURANT;;;30/11/2017;-23.95;29.52
14;D00634;FILTRATION;FILTRE A CARBURANT;;;06/12/2017;-25.16;41.26
14;D00634;FILTRATION;FILTRE A CARBURANT;;;22/12/2017;0;0
14;D00634;FILTRATION;FILTRE HABITACLE;;;03/05/2017;12.26;31.32
14;D00634;FILTRATION;FILTRE HABITACLE;;;01/06/2017;23.68;42.69
14;D00634;FILTRATION;FILTRE HABITACLE;;;13/07/2017;47.76;31.3
14;D00634;FILTRATION;FILTRE HABITACLE;;;05/09/2017;-5.54;-10.29
14;D00634;FILTRATION;FILTRE HABITACLE;;;20/10/2017;15.07;31.32
14;D00634;FILTRATION;FILTRE HABITACLE;;;09/11/2017;13.49;42.77
14;D00634;FREINAGE;PLAQUETTE;;;14/06/2017;168.54;48.26
14;D00634;FREINAGE;PLAQUETTE;;;27/06/2017;45.4;42
14;D00634;FREINAGE;PLAQUETTE;;;10/07/2017;165.41;44.59
14;D00634;FREINAGE;PLAQUETTE;;;01/08/2017;45;42
14;D00634;FREINAGE;PLAQUETTE;;;11/08/2017;128.26;44.85
14;D00634;FREINAGE;PLAQUETTE;;;21/08/2017;34;56.65
14;D00634;FREINAGE;PLAQUETTE;;;28/09/2017;17.92;60.88
14;D00634;FREINAGE;PLAQUETTE;;;28/11/2017;62.55;42
14;D00634;FREINAGE;PLAQUETTE;;;08/12/2017;22.5;42
14;D00634;FREINAGE;DISQUE;;;20/04/2017;87.1;38
14;D00634;FREINAGE;DISQUE;;;12/05/2017;74.28;51.67
14;D00634;FREINAGE;DISQUE;;;20/06/2017;172;35.02
14;D00634;FREINAGE;DISQUE;;;10/08/2017;90;36
0;D00639;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;13/12/2017;0;0
1;V01168;ELECTRICITE;LEVE VITRE;60230;CHAMBLY;05/04/2017;66.8;38.8
14;D00634;INDEFINI;INDEFINI;;;15/09/2017;60;0
14;D00634;FILTRATION;FILTRE A AIR;;;16/05/2017;9.84;31.3
14;D00634;FILTRATION;FILTRE A AIR;;;29/05/2017;14.04;42.74
14;D00634;FILTRATION;FILTRE A AIR;;;27/06/2017;15.24;37.2
14;D00634;FILTRATION;FILTRE A AIR;;;06/07/2017;22.05;34.56
14;D00634;FILTRATION;FILTRE A AIR;;;11/08/2017;51.59;35.03
14;D00634;FILTRATION;FILTRE A AIR;;;04/10/2017;9.08;31.28
14;D00634;FILTRATION;FILTRE A AIR;;;02/11/2017;11.8;31.36
14;D00634;FILTRATION;FILTRE A AIR;;;28/11/2017;12.42;31.32
14;D00634;FILTRATION;FILTRE A AIR;;;01/12/2017;58.35;35.84
14;D00634;FILTRATION;FILTRE A AIR;;;04/12/2017;14.38;37.55
14;D00634;FILTRATION;FILTRE A AIR;;;11/12/2017;8.5;9.18
14;D00634;FILTRATION;FILTRE A AIR;;;27/12/2017;32.03;36.15
14;D00634;FILTRATION;FILTRE A HUILE;;;10/05/2017;15.79;29.58
14;D00634;FILTRATION;FILTRE A HUILE;;;23/05/2017;26.02;31.05
14;D00634;FILTRATION;FILTRE A HUILE;;;21/06/2017;19.54;31.88
14;D00634;FILTRATION;FILTRE A HUILE;;;20/07/2017;25.62;29.63
14;D00634;FILTRATION;FILTRE A HUILE;;;08/08/2017;21.41;34.56
14;D00634;FILTRATION;FILTRE A HUILE;;;11/08/2017;47.55;31.63
14;D00634;FILTRATION;FILTRE A HUILE;;;21/08/2017;7.75;41.29
14;D00634;FILTRATION;FILTRE A HUILE;;;06/09/2017;27.6;33.33
14;D00634;FILTRATION;FILTRE A HUILE;;;28/09/2017;18.62;33.89
14;D00634;FILTRATION;FILTRE A HUILE;;;11/10/2017;22.08;34.1
14;D00634;FILTRATION;FILTRE A HUILE;;;27/10/2017;12.29;29.54
14;D00634;FILTRATION;FILTRE A HUILE;;;11/12/2017;17.94;27.03
14;D00634;FILTRATION;FILTRE A HUILE;;;27/12/2017;14.9;29.53
14;D00634;FILTRATION;FILTRE A CARBURANT;;;02/05/2017;-11.91;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;07/06/2017;78.46;29.53
14;D00634;FILTRATION;FILTRE A CARBURANT;;;13/06/2017;104.77;31.06
14;D00634;FILTRATION;FILTRE A CARBURANT;;;31/07/2017;10.64;45.77
14;D00634;FILTRATION;FILTRE A CARBURANT;;;10/08/2017;26.26;35.95
14;D00634;FILTRATION;FILTRE A CARBURANT;;;10/10/2017;11.68;29.54
14;D00634;FILTRATION;FILTRE A CARBURANT;;;27/11/2017;19.2;29.53
14;D00634;FILTRATION;FILTRE A CARBURANT;;;07/12/2017;26.57;29.54
14;D00634;FILTRATION;FILTRE A CARBURANT;;;26/12/2017;18.03;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;29/12/2017;76.82;31.62
14;D00634;FILTRATION;FILTRE HABITACLE;;;18/04/2017;9.78;31.39
14;D00634;FILTRATION;FILTRE HABITACLE;;;17/05/2017;16.98;37.51
14;D00634;FILTRATION;FILTRE HABITACLE;;;02/06/2017;13.54;42.76
14;D00634;FILTRATION;FILTRE HABITACLE;;;10/07/2017;94.55;36.56
14;D00634;FILTRATION;FILTRE HABITACLE;;;20/07/2017;48.59;31.3
14;D00634;FILTRATION;FILTRE HABITACLE;;;21/08/2017;9.78;31.39
14;D00634;FILTRATION;FILTRE HABITACLE;;;19/09/2017;2.61;31.42
14;D00634;FILTRATION;FILTRE HABITACLE;;;24/10/2017;10.67;31.4
14;D00634;FREINAGE;PLAQUETTE;;;11/05/2017;119.01;40.61
14;D00634;FREINAGE;PLAQUETTE;;;12/06/2017;147.25;20.84
14;D00634;FREINAGE;PLAQUETTE;;;28/06/2017;45;42
14;D00634;FREINAGE;PLAQUETTE;;;04/07/2017;176.95;40.76
14;D00634;FREINAGE;PLAQUETTE;;;11/07/2017;253.06;44.27
14;D00634;FREINAGE;PLAQUETTE;;;20/07/2017;84.82;39.11
14;D00634;FREINAGE;PLAQUETTE;;;27/07/2017;88.1;35.29
14;D00634;FREINAGE;PLAQUETTE;;;19/09/2017;149.28;47.74
0;D00639;ELECTRICITE;BATTERIE;;;29/08/2017;0;0
0;D00639;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;17/05/2017;43.83;41.73
0;D00639;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;28/06/2017;0;0
0;D00639;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;22/12/2017;0;0
0;D00639;VITRAGE;ABRASIF, MASQUAGE;;;08/12/2017;0;0
1;V01168;DIVERS;POIDS LOURD;60230;CHAMBLY;06/04/2017;113.85;33.33
14;D00634;FILTRATION;FILTRE A AIR;;;14/04/2017;45.98;41.15
14;D00634;FILTRATION;FILTRE A AIR;;;19/05/2017;33.76;34.63
14;D00634;FILTRATION;FILTRE A AIR;;;26/07/2017;28.86;35.41
14;D00634;FILTRATION;FILTRE A AIR;;;01/08/2017;41.59;31.23
14;D00634;FILTRATION;FILTRE A AIR;;;12/09/2017;21.78;31.36
14;D00634;FILTRATION;FILTRE A AIR;;;15/09/2017;12.03;31.34
14;D00634;FILTRATION;FILTRE A AIR;;;27/10/2017;9.21;31.38
14;D00634;FILTRATION;FILTRE A AIR;;;30/10/2017;7.12;37.5
14;D00634;FILTRATION;FILTRE A HUILE;;;14/04/2017;38.43;36.64
14;D00634;FILTRATION;FILTRE A HUILE;;;14/06/2017;13.59;35.98
14;D00634;FILTRATION;FILTRE A HUILE;;;30/06/2017;18.67;29.62
14;D00634;FILTRATION;FILTRE A HUILE;;;07/07/2017;69.06;29.68
14;D00634;FILTRATION;FILTRE A HUILE;;;10/07/2017;50.96;30.95
14;D00634;FILTRATION;FILTRE A HUILE;;;13/07/2017;41.68;32.68
14;D00634;FILTRATION;FILTRE A HUILE;;;24/08/2017;20.29;41.25
14;D00634;FILTRATION;FILTRE A HUILE;;;22/09/2017;15.87;37.62
14;D00634;FILTRATION;FILTRE A HUILE;;;09/11/2017;21.6;29.49
14;D00634;FILTRATION;FILTRE A HUILE;;;08/12/2017;41.91;30.66
14;D00634;FILTRATION;FILTRE A HUILE;;;21/12/2017;8.85;49.72
14;D00634;FILTRATION;FILTRE A CARBURANT;;;10/04/2017;28.96;29.52
14;D00634;FILTRATION;FILTRE A CARBURANT;;;09/05/2017;56.45;29.53
14;D00634;FILTRATION;FILTRE A CARBURANT;;;18/05/2017;30.61;36.1
14;D00634;FILTRATION;FILTRE A CARBURANT;;;31/05/2017;-43.78;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;16/06/2017;1.56;191.67
14;D00634;FILTRATION;FILTRE A CARBURANT;;;23/06/2017;52.45;29.34
14;D00634;FILTRATION;FILTRE A CARBURANT;;;26/06/2017;40.79;32.66
14;D00634;FILTRATION;FILTRE A CARBURANT;;;29/06/2017;44.8;35.96
14;D00634;FILTRATION;FILTRE A CARBURANT;;;06/07/2017;21.82;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;12/07/2017;29.49;35.94
14;D00634;FILTRATION;FILTRE A CARBURANT;;;05/09/2017;14.38;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;27/09/2017;44.55;29.56
14;D00634;FILTRATION;FILTRE A CARBURANT;;;20/10/2017;29.46;29.53
14;D00634;FILTRATION;FILTRE A CARBURANT;;;26/10/2017;36.3;34.24
14;D00634;FILTRATION;FILTRE A CARBURANT;;;08/11/2017;24.37;21.71
14;D00634;FILTRATION;FILTRE A CARBURANT;;;24/11/2017;28.98;49.65
14;D00634;FILTRATION;FILTRE HABITACLE;;;24/04/2017;21.49;31.32
14;D00634;FILTRATION;FILTRE HABITACLE;;;04/07/2017;8.42;31.24
14;D00634;FILTRATION;FILTRE HABITACLE;;;07/07/2017;75.16;31.27
14;D00634;FILTRATION;FILTRE HABITACLE;;;17/07/2017;19.56;31.29
14;D00634;FILTRATION;FILTRE HABITACLE;;;24/08/2017;16.44;42.76
14;D00634;FILTRATION;FILTRE HABITACLE;;;03/11/2017;9.78;31.39
14;D00634;FILTRATION;FILTRE HABITACLE;;;29/11/2017;11.24;31.32
14;D00634;FREINAGE;PLAQUETTE;;;12/04/2017;22.5;42
14;D00634;FREINAGE;PLAQUETTE;;;17/05/2017;64.38;50
14;D00634;FREINAGE;PLAQUETTE;;;30/05/2017;113.5;33.38
14;D00634;FREINAGE;PLAQUETTE;;;28/08/2017;53.97;51.36
14;D00634;FREINAGE;PLAQUETTE;;;12/10/2017;13.12;42.84
1;V01168;EQUIPEMENT ATELIER;CONSOMABLE;60230;CHAMBLY;06/04/2017;6.89;27.72
14;D00634;INDEFINI;INDEFINI;;;10/11/2017;-180;0
14;D00634;FILTRATION;FILTRE A AIR;;;19/04/2017;40.16;41.48
14;D00634;FILTRATION;FILTRE A AIR;;;24/05/2017;55.7;25.51
14;D00634;FILTRATION;FILTRE A AIR;;;06/06/2017;55.69;34.96
14;D00634;FILTRATION;FILTRE A AIR;;;09/06/2017;18.71;31.32
14;D00634;FILTRATION;FILTRE A AIR;;;11/07/2017;61.94;31.3
14;D00634;FILTRATION;FILTRE A AIR;;;27/07/2017;49.18;31.29
14;D00634;FILTRATION;FILTRE A AIR;;;04/09/2017;16;34.69
14;D00634;FILTRATION;FILTRE A AIR;;;03/10/2017;12.52;42.73
14;D00634;FILTRATION;FILTRE A AIR;;;12/10/2017;25.11;33.53
14;D00634;FILTRATION;FILTRE A AIR;;;17/11/2017;-22.05;31.34
14;D00634;FILTRATION;FILTRE A AIR;;;06/12/2017;8.63;31.4
14;D00634;FILTRATION;FILTRE A AIR;;;19/12/2017;11.24;31.32
14;D00634;FILTRATION;FILTRE A HUILE;;;13/04/2017;21.49;33.22
14;D00634;FILTRATION;FILTRE A HUILE;;;05/05/2017;7.71;35.93
14;D00634;FILTRATION;FILTRE A HUILE;;;19/06/2017;25.53;29.57
14;D00634;FILTRATION;FILTRE A HUILE;;;29/06/2017;12.04;32.72
14;D00634;FILTRATION;FILTRE A HUILE;;;05/07/2017;36.28;31.01
14;D00634;FILTRATION;FILTRE A HUILE;;;12/07/2017;25.9;35.98
14;D00634;FILTRATION;FILTRE A HUILE;;;04/09/2017;26.41;32.15
14;D00634;FILTRATION;FILTRE A HUILE;;;11/09/2017;6.18;29.61
14;D00634;FILTRATION;FILTRE A HUILE;;;03/10/2017;8.59;41.33
14;D00634;FILTRATION;FILTRE A HUILE;;;10/10/2017;7.09;29.48
14;D00634;FILTRATION;FILTRE A HUILE;;;19/10/2017;6.33;41.23
14;D00634;FILTRATION;FILTRE A HUILE;;;26/10/2017;21.73;33.59
14;D00634;FILTRATION;FILTRE A HUILE;;;17/11/2017;-5.52;12.5
14;D00634;FILTRATION;FILTRE A HUILE;;;27/11/2017;14.24;29.49
14;D00634;FILTRATION;FILTRE A HUILE;;;30/11/2017;8.42;29.69
14;D00634;FILTRATION;FILTRE A HUILE;;;26/12/2017;20.51;36.47
14;D00634;FILTRATION;FILTRE A CARBURANT;;;21/04/2017;78.17;29.55
14;D00634;FILTRATION;FILTRE A CARBURANT;;;10/05/2017;27.49;29.54
14;D00634;FILTRATION;FILTRE A CARBURANT;;;20/07/2017;54.36;29.91
14;D00634;FILTRATION;FILTRE A CARBURANT;;;08/08/2017;54.98;29.54
14;D00634;FILTRATION;FILTRE A CARBURANT;;;21/08/2017;23.22;33.38
14;D00634;FILTRATION;FILTRE A CARBURANT;;;13/09/2017;18.75;35.95
14;D00634;FILTRATION;FILTRE A CARBURANT;;;29/11/2017;8.57;29.52
14;D00634;FILTRATION;FILTRE HABITACLE;;;10/04/2017;18.46;31.31
14;D00634;FILTRATION;FILTRE HABITACLE;;;02/05/2017;0;0
14;D00634;FILTRATION;FILTRE HABITACLE;;;09/05/2017;22.58;31.31
14;D00634;FILTRATION;FILTRE HABITACLE;;;26/06/2017;8.43;31.32
14;D00634;FILTRATION;FILTRE HABITACLE;;;25/07/2017;45.27;31.32
14;D00634;FILTRATION;FILTRE HABITACLE;;;28/07/2017;32.87;43.63
14;D00634;FILTRATION;FILTRE HABITACLE;;;01/09/2017;10;31.3
14;D00634;FILTRATION;FILTRE HABITACLE;;;08/11/2017;13.49;23.65
14;D00634;FILTRATION;FILTRE HABITACLE;;;14/11/2017;8.27;42.81
14;D00634;FILTRATION;FILTRE HABITACLE;;;26/12/2017;6.89;31.35
14;D00634;FREINAGE;PLAQUETTE;;;09/05/2017;205.3;42
14;D00634;FREINAGE;PLAQUETTE;;;19/05/2017;54.7;53.33
14;D00634;FREINAGE;PLAQUETTE;;;22/05/2017;78.25;41.99
14;D00634;FREINAGE;PLAQUETTE;;;13/06/2017;58.86;38.7
14;D00634;FREINAGE;PLAQUETTE;;;20/06/2017;122.75;40.22
14;D00634;FREINAGE;PLAQUETTE;;;23/06/2017;52.29;49.99
14;D00634;FREINAGE;PLAQUETTE;;;03/07/2017;36.35;42.01
0;D00639;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;19/07/2017;0;0
0;D00639;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;20/12/2017;0;0
0;D00639;EQUIPEMENT ATELIER;OUTILLAGE;;;17/05/2017;139.8;40
0;D00639;EQUIPEMENT ATELIER;CONSOMABLE;;;17/10/2017;0;0
0;D00639;LIQUIDE;LAVE GLACE;;;05/10/2017;0;0
14;D00634;INDEFINI;INDEFINI;;;26/09/2017;60;0
14;D00634;FILTRATION;FILTRE A AIR;;;25/04/2017;7.87;31.39
14;D00634;FILTRATION;FILTRE A AIR;;;28/04/2017;19.2;36.93
14;D00634;FILTRATION;FILTRE A AIR;;;12/06/2017;37.11;31.31
14;D00634;FILTRATION;FILTRE A AIR;;;19/06/2017;30.7;31.34
14;D00634;FILTRATION;FILTRE A AIR;;;22/06/2017;59.18;32.7
